"ensemble_id","steepness","steepness_prior_quantile","tag_mixing_period","tag_reporting_flag2","tag_reporting","m_age40_quarterly","lorenzen_log_intercept","m_prior_quantile","effort_creep_primary","effort_creep_secondary","effort_source_file","initialization","design_seed"
"ensemble-016",0.805811118293605,0.155,0.1,0,"inclusion",0.0549419571486503,-2.90147797556672,0.0606060606060606,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-017",0.861210831534553,0.395,0.35,0,"inclusion",0.0822551772482493,-2.49792894605016,0.575757575757576,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-018",0.884128353828229,0.535,0.2,0,"inclusion",0.0871385600993869,-2.44025578242079,0.656565656565657,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-019",0.921008574278809,0.775,0.25,1,"exclusion",0.0737790411987837,-2.60668058230624,0.414141414141414,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-020",0.914621909616371,0.735,0.1,1,"exclusion",0.0575944645644799,-2.85432881720943,0.101010101010101,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-021",0.828511678155121,0.235,0.2,0,"inclusion",0.103537604639011,-2.2678204024195,0.848484848484849,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-022",0.971919445177731,0.985,0.3,1,"exclusion",0.0673421340526926,-2.69796917503717,0.282828282828283,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-023",0.798761897930364,0.135,0.25,1,"exclusion",0.0693237065838554,-2.66896834493735,0.323232323232323,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-024",0.855809211216181,0.365,0.2,1,"exclusion",0.0891618489666364,-2.41730203305459,0.686868686868687,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-025",0.926002224185036,0.805,0.15,1,"exclusion",0.102342524190726,-2.2794300111573,0.838383838383838,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-026",0.897829395889862,0.625,0.25,0,"inclusion",0.0858554145392649,-2.45509062386317,0.636363636363636,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-027",0.896320385354245,0.615,0.2,0,"inclusion",0.135857262442072,-1.99615048526689,0.97979797979798,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-028",0.966535374448689,0.975,0.2,0,"inclusion",0.0763126447499183,-2.57291663030819,0.464646464646465,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-029",0.947592253615846,0.915,0.25,0,"inclusion",0.0805661326508447,-2.51867690821046,0.545454545454546,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-030",0.877862199777685,0.495,0.3,0,"inclusion",0.0588137883080818,-2.83337895653182,0.121212121212121,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-031",0.853953022391694,0.355,0.2,1,"exclusion",0.0556377571204201,-2.88889322329977,0.0707070707070707,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-032",0.943029225334482,0.895,0.15,0,"inclusion",0.0643057877826258,-2.74410563961794,0.222222222222222,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-033",0.815170286195679,0.185,0.2,1,"exclusion",0.101207837702648,-2.29057907747306,0.828282828282828,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-034",0.938848765182386,0.875,0.25,1,"exclusion",0.0781360768197088,-2.5493033976836,0.5,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-035",0.706251086046443,0.015,0.05,1,"exclusion",0.0913273087310555,-2.39330542623648,0.717171717171717,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-036",0.882576408745769,0.525,0.25,0,"inclusion",0.0962360211032889,-2.34095155165241,0.777777777777778,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-037",0.802381509931566,0.145,0.15,1,"exclusion",0.0683352636233828,-2.68332934076374,0.303030303030303,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-038",0.899338000528099,0.635,0.1,1,"exclusion",0.0688299081272006,-2.67611691735119,0.313131313131313,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-039",0.952715284757023,0.935,0.15,0,"inclusion",0.0742805402878125,-2.5999062688594,0.424242424242424,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-040",0.864689513975004,0.415,0.15,1,"exclusion",0.112591327556163,-2.18399058617024,0.909090909090909,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-041",0.900847118561344,0.645,0.3,0,"inclusion",0.0594032981239002,-2.82340553018355,0.131313131313131,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-042",0.905387172440846,0.675,0.2,0,"inclusion",0.0611069206355763,-2.79513015186081,0.161616161616162,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-043",0.929467540089388,0.825,0.25,1,"exclusion",0.0518387044893732,-2.95961821781032,0.0202020202020202,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-044",0.933075845818822,0.845,0.05,0,"inclusion",0.0936696196048118,-2.36798137278342,0.747474747474748,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-045",0.725278314179954,0.025,0.15,1,"exclusion",0.06783945055491,-2.69061138666292,0.292929292929293,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-046",0.881015343303337,0.515,0.05,0,"inclusion",0.1107775860534,-2.20023081706955,0.898989898989899,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-047",0.885672068582653,0.545,0.15,1,"exclusion",0.0884730651522898,-2.42505712185337,0.676767676767677,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-048",0.820790515436329,0.205,0.15,0,"inclusion",0.0637870378076872,-2.75220527843155,0.212121212121212,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-049",0.940898885193137,0.885,0.25,1,"exclusion",0.0773484935333169,-2.55943417812794,0.484848484848485,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-050",0.842086157448238,0.295,0.15,1,"exclusion",0.0920864072633612,-2.3850279333299,0.727272727272727,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-051",0.916195781737906,0.745,0.15,1,"exclusion",0.125747100182427,-2.07348253044769,0.95959595959596,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-052",0.962318088723012,0.965,0.2,0,"inclusion",0.0727818834091132,-2.62028820901928,0.393939393939394,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-053",0.833276325452964,0.255,0.1,1,"exclusion",0.0698169709922683,-2.66187816134188,0.333333333333333,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-054",0.934945675833632,0.855,0.1,1,"exclusion",0.0569613412002168,-2.86538246580351,0.0909090909090909,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-055",0.818033921729831,0.195,0.25,0,"inclusion",0.0722856655246856,-2.6271294333099,0.383838383838384,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-056",0.958742756041707,0.955,0.15,1,"exclusion",0.0852310901206976,-2.4623890041895,0.626262626262626,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-057",0.859436361940827,0.385,0.2,0,"inclusion",0.130079027873184,-2.03961310651019,0.96969696969697,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-058",0.903870708475044,0.665,0.1,0,"inclusion",0.0794724389388925,-2.53234499744319,0.525252525252525,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-059",0.776541521221879,0.085,0.3,0,"inclusion",0.0864909853976233,-2.44771508553145,0.646464646464647,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-060",0.890262545089038,0.575,0.15,0,"inclusion",0.0658375856891314,-2.72056439264879,0.252525252525253,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-061",0.879444249940166,0.505,0.15,0,"inclusion",0.0563099174589846,-2.87688460554896,0.0808080808080808,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-062",0.668842859607944,0.005,0.2,1,"exclusion",0.0752907922576926,-2.58639743242753,0.444444444444444,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-063",0.770846464986023,0.075,0.2,0,"inclusion",0.114589019411942,-2.16640329594193,0.919191919191919,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-064",0.857636386724039,0.375,0.3,1,"exclusion",0.0526734626483475,-2.94364350532107,0.0303030303030303,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-065",0.87304061579763,0.465,0.15,0,"inclusion",0.0877989574175441,-2.43270565292701,0.666666666666667,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-066",0.908434742830431,0.695,0.25,0,"inclusion",0.0663415771049015,-2.71293847268428,0.262626262626263,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-067",0.794924316001641,0.125,0.2,1,"exclusion",0.0971520984618889,-2.33147750316666,0.787878787878788,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-068",0.906908146756983,0.685,0.2,1,"exclusion",0.0621988276664657,-2.77741912722064,0.181818181818182,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-069",0.839962630725593,0.285,0.05,1,"exclusion",0.0542190131195951,-2.91472363648643,0.0505050505050505,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-070",0.852065874766007,0.345,0.2,1,"exclusion",0.0616566666506246,-2.78617391814397,0.171717171717172,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-071",0.955582324101094,0.945,0.1,0,"inclusion",0.165,-1.80180980508156,1,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-072",0.73849166020729,0.035,0.35,1,"exclusion",0.0840134186699743,-2.47677874682575,0.606060606060606,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-073",0.911509558640356,0.715,0.25,0,"inclusion",0.0582113556644768,-2.84367482876719,0.111111111111111,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-074",0.894810070821111,0.605,0.2,1,"exclusion",0.0828329057910201,-2.4909298836035,0.585858585858586,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-075",0.866396629481641,0.425,0.2,1,"exclusion",0.0717906497648976,-2.63400103752375,0.373737373737374,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-076",0.862961384257733,0.405,0.1,1,"exclusion",0.0627341609750892,-2.76884914757182,0.191919191919192,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-077",0.835561766233084,0.265,0.3,1,"exclusion",0.119342065701464,-2.12576140765755,0.939393939393939,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-078",0.790834090920188,0.115,0.35,1,"exclusion",0.074784362034534,-2.59314647956801,0.434343434343434,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-079",0.809073624120682,0.165,0.05,1,"exclusion",0.0648201380291399,-2.73613895184891,0.232323232323232,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-080",0.902357695484583,0.655,0.3,1,"exclusion",0.100126760424999,-2.30131829147603,0.818181818181818,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-081",0.8441631832874,0.305,0.2,1,"exclusion",0.0703100045015643,-2.65484117874654,0.343434343434343,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-082",0.94525416877919,0.905,0.3,0,"inclusion",0.05,-2.99573227355399,0,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-083",0.812188029717643,0.175,0.25,1,"exclusion",0.0981034119734896,-2.32173313245001,0.797979797979798,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-084",0.830928058969153,0.245,0.3,0,"inclusion",0.0781360768197088,-2.5493033976836,0.5,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-085",0.924313504785243,0.795,0.15,1,"exclusion",0.0758001212214585,-2.5796553871074,0.454545454545455,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-086",0.748759775715778,0.045,0.15,1,"exclusion",0.0944973771704406,-2.35918319967776,0.757575757575758,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-087",0.868084063286185,0.435,0.25,1,"exclusion",0.106143232643334,-2.24296584563639,0.868686868686869,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-088",0.936867444469897,0.865,0.25,0,"inclusion",0.0990935738603204,-2.31169068475053,0.808080808080808,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-089",0.846196883620319,0.315,0.2,0,"inclusion",0.092866603762125,-2.37659118366882,0.737373737373737,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-090",0.850145674340893,0.335,0.2,0,"inclusion",0.144681424751291,-1.93322102434312,0.98989898989899,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-091",0.913060344746047,0.725,0.2,1,"exclusion",0.071296556245868,-2.64090725222529,0.363636363636364,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-092",0.893297570756611,0.595,0.2,0,"inclusion",0.116817069041476,-2.14714608021155,0.929292929292929,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-093",0.917783617349319,0.755,0.35,0,"inclusion",0.081122253237103,-2.51179796293352,0.555555555555556,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-094",0.757229334067595,0.055,0.3,0,"inclusion",0.0846173094405892,-2.46961642998171,0.616161616161616,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-095",0.931251594371582,0.835,0.25,1,"exclusion",0.0534646316961139,-2.92873493348865,0.0404040404040404,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-096",0.980467458423588,0.995,0.25,1,"exclusion",0.0953520334737027,-2.35017962074777,0.767676767676768,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-097",0.823450060401092,0.215,0.1,0,"inclusion",0.0708031029426514,-2.64785245236922,0.353535353535354,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-098",0.888738301598888,0.565,0.1,0,"inclusion",0.0653305834849136,-2.72829499882215,0.242424242424242,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-099",0.92264985972879,0.785,0.15,0,"inclusion",0.0905877599451976,-2.40143617500265,0.707070707070707,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-100",0.837789115487901,0.275,0.2,0,"inclusion",0.0668429648670114,-2.7054092185635,0.272727272727273,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
